epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.50113,0.48362,0.38505,0.97583,0.99637,1,0.995,0.95522,0.34302,0.21498,0.90373,0,0,0
2,16.961,0.43167,0.24351,0.92757,0.99639,1,0.995,0.96341,0.31892,0.20889,0.89451,1.9604e-05,1.9604e-05,1.9604e-05
3,24.8352,0.47321,0.47932,0.97536,0.99644,1,0.995,0.96775,0.28425,0.20449,0.88409,3.8416e-05,3.8416e-05,3.8416e-05
4,32.3822,0.43252,0.41571,1.02318,0.99642,1,0.995,0.98068,0.2457,0.19646,0.87205,5.6436e-05,5.6436e-05,5.6436e-05
5,39.7953,0.31233,0.22643,0.92686,0.99645,1,0.995,0.98996,0.21953,0.19156,0.86184,7.3664e-05,7.3664e-05,7.3664e-05
6,47.4067,0.34385,0.29687,0.93931,0.99653,1,0.995,0.99005,0.21279,0.16693,0.85305,9.01e-05,9.01e-05,9.01e-05
7,54.8162,0.36429,0.31181,0.96915,0.99654,1,0.995,0.98964,0.23122,0.1666,0.84798,0.000105744,0.000105744,0.000105744
8,62.2369,0.37763,0.26963,0.90739,0.99651,1,0.995,0.98187,0.25704,0.17286,0.84744,0.000120596,0.000120596,0.000120596
9,69.6118,0.3642,0.24387,0.9659,0.99652,1,0.995,0.98243,0.26392,0.18564,0.84673,0.000134656,0.000134656,0.000134656
10,76.9206,0.30637,0.23906,0.8971,0.99653,1,0.995,0.99113,0.2486,0.19002,0.84128,0.000147924,0.000147924,0.000147924
11,84.5733,0.30523,0.2448,0.9014,0.99656,1,0.995,0.99113,0.22118,0.18688,0.83696,0.0001604,0.0001604,0.0001604
12,92.4932,0.32958,0.19786,0.84539,1,1,0.995,0.99147,0.19189,0.18876,0.83286,0.000172084,0.000172084,0.000172084
13,100.136,0.29048,0.19854,0.85916,1,1,0.995,0.99147,0.17243,0.18752,0.83125,0.000182976,0.000182976,0.000182976
14,107.669,0.30146,0.21284,0.88159,1,1,0.995,0.99101,0.17293,0.1875,0.82825,0.000193076,0.000193076,0.000193076
15,115.129,0.28469,0.24038,0.9335,1,1,0.995,0.99101,0.17215,0.18196,0.82618,0.000202384,0.000202384,0.000202384
16,122.702,0.27248,0.20602,0.92154,1,1,0.995,0.99101,0.1649,0.18279,0.82368,0.0002109,0.0002109,0.0002109
17,130.062,0.29219,0.21092,0.81177,1,1,0.995,0.98881,0.15888,0.17514,0.82153,0.000218624,0.000218624,0.000218624
18,137.273,0.27025,0.23042,0.90822,1,1,0.995,0.98881,0.15888,0.17514,0.82153,0.000225556,0.000225556,0.000225556
19,144.521,0.18467,0.16724,0.78735,1,1,0.995,0.98881,0.15297,0.1664,0.81926,0.000231696,0.000231696,0.000231696
20,151.89,0.24776,0.20425,0.84491,1,1,0.995,0.98881,0.15297,0.1664,0.81926,0.000237044,0.000237044,0.000237044
