epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1876,0.2941,0.27044,0.87961,0.99829,1,0.995,0.97697,0.21059,0.21565,0.74013,2e-05,2e-05,2e-05
2,45.1432,0.29811,0.24954,0.8825,0.9983,1,0.995,0.98347,0.19888,0.2065,0.73759,5.8812e-05,5.8812e-05,5.8812e-05
3,65.0937,0.24986,0.20607,0.87537,0.9983,1,0.995,0.98322,0.24682,0.20385,0.74448,9.604e-05,9.604e-05,9.604e-05
4,85.0317,0.25035,0.20982,0.88805,0.99833,1,0.995,0.97929,0.26893,0.20218,0.74837,0.000131684,0.000131684,0.000131684
5,106.218,0.22906,0.19728,0.83209,0.99828,1,0.995,0.98632,0.22241,0.18822,0.74635,0.000165744,0.000165744,0.000165744
6,128.503,0.24312,0.23416,0.83747,0.99825,1,0.995,0.98691,0.19443,0.18666,0.74756,0.00019822,0.00019822,0.00019822
7,150.701,0.27771,0.25345,0.89122,0.9982,1,0.995,0.98863,0.19615,0.18395,0.7535,0.000229112,0.000229112,0.000229112
8,173.011,0.27197,0.19691,0.90895,0.99817,1,0.995,0.9896,0.16825,0.17347,0.74808,0.00025842,0.00025842,0.00025842
9,194.179,0.22867,0.19061,0.84759,0.99814,1,0.995,0.98747,0.17361,0.1844,0.74518,0.000286144,0.000286144,0.000286144
10,216.059,0.21687,0.18846,0.83418,0.99813,1,0.995,0.98863,0.1964,0.19295,0.74482,0.000312284,0.000312284,0.000312284
11,236.817,0.20829,0.19453,0.8278,0.99818,1,0.995,0.99012,0.2105,0.19284,0.74192,0.00033684,0.00033684,0.00033684
12,257.066,0.22594,0.18843,0.84944,0.9982,1,0.995,0.99301,0.19816,0.19532,0.73034,0.000359812,0.000359812,0.000359812
13,277.127,0.24325,0.20872,0.87256,0.99825,1,0.995,0.995,0.17635,0.19364,0.72218,0.0003812,0.0003812,0.0003812
14,296.906,0.19145,0.18805,0.84206,0.99825,1,0.995,0.995,0.16745,0.18733,0.71938,0.000401004,0.000401004,0.000401004
15,317.288,0.19328,0.17368,0.82083,0.99828,1,0.995,0.995,0.1625,0.18543,0.71835,0.000419224,0.000419224,0.000419224
16,339.215,0.20588,0.20977,0.83702,0.99831,1,0.995,0.995,0.16984,0.18168,0.71939,0.00043586,0.00043586,0.00043586
17,360.813,0.21097,0.19922,0.84459,0.99832,1,0.995,0.995,0.16565,0.16674,0.72067,0.000450912,0.000450912,0.000450912
18,381.576,0.22744,0.21671,0.88194,0.99831,1,0.995,0.995,0.15111,0.16806,0.72028,0.00046438,0.00046438,0.00046438
19,402.666,0.18539,0.21751,0.84837,0.99833,1,0.995,0.995,0.12916,0.16969,0.7219,0.000476264,0.000476264,0.000476264
20,423.094,0.18725,0.21387,0.81762,0.99832,1,0.995,0.995,0.1227,0.17154,0.72374,0.000486564,0.000486564,0.000486564
21,444.658,0.18671,0.21092,0.81649,0.99832,1,0.995,0.995,0.12502,0.16903,0.72683,0.00049528,0.00049528,0.00049528
22,466.345,0.19624,0.18968,0.82375,0.99831,1,0.995,0.995,0.12896,0.17312,0.72943,0.000502412,0.000502412,0.000502412
23,487.543,0.20499,0.20048,0.85012,0.99832,1,0.995,0.995,0.13041,0.18087,0.73009,0.00050796,0.00050796,0.00050796
24,507.931,0.20919,0.1957,0.87824,0.9983,1,0.995,0.995,0.13328,0.18562,0.73107,0.000511924,0.000511924,0.000511924
25,528.107,0.16879,0.16634,0.80552,0.9983,1,0.995,0.995,0.13129,0.1846,0.7312,0.000514304,0.000514304,0.000514304
26,547.905,0.1861,0.19228,0.86786,0.9983,1,0.995,0.995,0.13177,0.18526,0.73155,0.0005151,0.0005151,0.0005151
27,567.434,0.1779,0.17139,0.83333,0.9983,1,0.995,0.995,0.13273,0.18816,0.73146,0.000514312,0.000514312,0.000514312
28,587.174,0.16537,0.19655,0.86415,0.9983,1,0.995,0.995,0.13273,0.18816,0.73146,0.00051194,0.00051194,0.00051194
29,606.753,0.17706,0.19521,0.84152,0.99832,1,0.995,0.995,0.13532,0.18828,0.72966,0.000507984,0.000507984,0.000507984
30,626.588,0.20435,0.2047,0.85736,0.99832,1,0.995,0.995,0.13222,0.18138,0.72697,0.000502444,0.000502444,0.000502444
31,646.407,0.18639,0.21147,0.86484,0.99832,1,0.995,0.995,0.13222,0.18138,0.72697,0.00049532,0.00049532,0.00049532
32,666.564,0.17746,0.17294,0.8275,0.99833,1,0.995,0.995,0.12633,0.17474,0.72502,0.000486612,0.000486612,0.000486612
